"service","spkts","sbytes","sttl","smean","attack_cat"
http,FALSE,FALSE,medium,FALSE,Exploits
dns,FALSE,FALSE,high,FALSE,Generic
dns,FALSE,FALSE,high,FALSE,Generic
dns,FALSE,FALSE,high,FALSE,Generic
dns,FALSE,FALSE,high,FALSE,Generic
dns,FALSE,FALSE,high,FALSE,Generic
dns,FALSE,FALSE,high,FALSE,Generic
dns,FALSE,FALSE,high,FALSE,Generic
dns,FALSE,FALSE,high,FALSE,Generic
dns,FALSE,FALSE,low,FALSE,Generic
http,FALSE,TRUE,low,TRUE,Normal
ftp,FALSE,FALSE,high,FALSE,Normal
http,FALSE,FALSE,medium,TRUE,Normal
ftp,TRUE,FALSE,high,FALSE,Fuzzers
http,FALSE,FALSE,medium,FALSE,Exploits
http,TRUE,TRUE,high,TRUE,Exploits
dns,FALSE,FALSE,high,FALSE,Generic
http,FALSE,TRUE,medium,TRUE,Exploits
dns,FALSE,FALSE,high,FALSE,Generic
dns,FALSE,FALSE,high,FALSE,Generic